Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Counterfactual,Year,Value
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2005,10.06930425
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2005,5.686722307
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2005,4.083982943
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,3.658134953
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,3.175116259
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,2.994380078
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2006,10.06667511
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2006,5.445163297
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2006,3.942942128
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,3.624150979
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,3.038775192
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,2.864959306
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2007,10.19130885
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2007,5.435470819
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2007,3.884545593
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,3.630921874
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,3.014678396
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,2.911533878
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2008,10.29907803
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2008,5.503702051
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2008,3.861262329
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,3.559784603
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,3.018841117
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,2.95090059
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2009,10.25663551
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2009,5.372299118
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2009,3.87526808
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,3.545367292
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,2.975094206
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,2.825665467
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2010,10.24256338
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2010,5.238766741
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2010,3.864968773
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,3.577621237
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,2.943570564
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,2.740855306
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2011,10.46964556
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2011,5.148864491
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2011,4.026000768
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,3.799299665
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,2.978438254
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,2.709968744
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2013,10.68071409
