Year,CountryName,Consumtion of ATC (Expressed in DDD per 1000 inhabitants per day),Percentage,(Used for pill bottle how hard to grab)
2005,Bulgaria,14.325,55.89807625,
2005,Netherlands,9.372,36.57080423,
2005,Spain,15.474,60.38162875,
2006,Bulgaria,15.294,59.67924455,
2006,Netherlands,9.681,37.77656378,
2006,Spain,14.963,58.38763804,
2007,Bulgaria,16.732,65.29051391,
2007,Netherlands,9.859,38.47114372,
2007,Spain,15.943,62.21172982,
2008,Bulgaria,17.491,68.25223397,
2008,Netherlands,10.009,39.05646389,
2008,Spain,15.765,61.51714988,
2009,Bulgaria,15.911,62.08686151,
2009,Netherlands,10.114,39.466188,
2009,Spain,15.674,61.16205564,
2010,Bulgaria,15.843,61.82151637,
2010,Netherlands,10.008,39.05256175,
2010,Spain,16.194,63.19116557,
2011,Bulgaria,16.959,66.17629844,
2011,Netherlands,10.129,39.52472002,
2011,Spain,16.597,64.76372576,
2012,Bulgaria,16.109,62.85948414,
2012,Netherlands,10.088,39.36473251,
2012,Spain,15.656,61.09181722,
2013,Bulgaria,17.295,67.48741562,
2013,Netherlands,9.611,37.50341437,
2013,Spain,16.156,63.04288446,
2014,Bulgaria,18.602,72.58750537,
2014,Netherlands,9.416,36.74249815,
2014,Spain,17.07,66.60943536,
2015,Bulgaria,18.812,73.4069536,
2015,Netherlands,9.49,37.0312561,
2015,Spain,17.489,68.2444297,
2016,Bulgaria,17.642,68.84145628,
2016,Netherlands,9.248,36.08693956,
2016,Spain,25.627,100,
2017,Bulgaria,18.945,73.92593749,
2017,Netherlands,8.941,34.88898427,
2017,Spain,25.008,97.58457876,
2018,Bulgaria,19.513,76.14234987,
2018,Netherlands,8.898,34.72119249,
2018,Spain,24.472,95.49303469,
2019,Bulgaria,19.055,74.35517228,
2019,Netherlands,8.676,33.85491864,
2019,Spain,23.267,90.79096266,
2020,Bulgaria,20.744,80.94587739,
2020,Netherlands,7.772,30.32738908,
2020,Spain,18.189,70.97592383,
2021,Bulgaria,22.367,87.27904164,
2021,Netherlands,7.63,29.77328599,
2021,Spain,18.475,72.09193429,
2022,Bulgaria,24.186,94.37702423,
2022,Netherlands,8.324,32.48136731,
2022,Spain,21.697,84.66461154,
2023,Bulgaria,24.63,96.10957194,
2023,Netherlands,8.804,34.35439185,
2023,Spain,22.511,87.840949,
