HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,BG,Bulgaria,17.58241758,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,ES,Spain,2.44392366,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,NL,Netherlands,0.52966101,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,BG,Bulgaria,16.39344262,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,ES,Spain,1.84798807,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,NL,Netherlands,1.15964437,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,BG,Bulgaria,8.8,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,ES,Spain,2.38617663,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,NL,Netherlands,1.25556905,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,BG,Bulgaria,19.86301369,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,ES,Spain,2.9395452,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,NL,Netherlands,1.52946468,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,BG,Bulgaria,6.84210526,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,ES,Spain,4.38665615,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,NL,Netherlands,1.41267123,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,BG,Bulgaria,7.43243243,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,ES,Spain,5.45997191,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,NL,Netherlands,1.87435633,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2011,BG,Bulgaria,10.22727272,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2011,ES,Spain,4.9159814,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2011,NL,Netherlands,2.28655725,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2012,BG,Bulgaria,15.98173515,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2012,ES,Spain,5.83967439,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2012,NL,Netherlands,1.96543544,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2013,BG,Bulgaria,18.71657754,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2013,ES,Spain,5.84360749,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2013,NL,Netherlands,2.04081632,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2014,BG,Bulgaria,20.21276595,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2014,ES,Spain,5.29755761,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2014,NL,Netherlands,2.19008844,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2015,BG,Bulgaria,12.63736263,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2015,ES,Spain,5.50187032,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2015,NL,Netherlands,1.95108157,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2016,BG,Bulgaria,22.05882352,
