HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,BG,Bulgaria,20.58823529,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,ES,Spain,3.57142857,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2005,NL,Netherlands,2.35294117,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,BG,Bulgaria,21.81818181,36.41379309
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,ES,Spain,1.06951871,1.784989847
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2006,NL,Netherlands,1.03359173,1.725028956
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,BG,Bulgaria,34.48275862,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,ES,Spain,5.39215686,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2007,NL,Netherlands,2.67639902,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,BG,Bulgaria,43.75,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,ES,Spain,4.23197492,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2008,NL,Netherlands,3.71179039,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,BG,Bulgaria,38.94736842,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,ES,Spain,4.78468899,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2009,NL,Netherlands,1.05540897,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,BG,Bulgaria,44.3548387,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,ES,Spain,4.73729543,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2010,NL,Netherlands,3.59955005,
Antimicrobial resistance,"Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2011,BG,Bulgaria,45.76271186,76.37638807
